section,metric,value,year,stage,ancestry,entity_type,entity,era,snapshot
annual_growth,Cumulative accessions,20243.0,2020.0,,,,,,
annual_growth,Publications,687.0,2021.0,,,,,,
annual_growth,Accessions,29272.0,2021.0,,,,,,
annual_growth,Discovery participant instances,3989117185.0,2021.0,,,,,,
annual_growth,Replication participant instances,110039741.0,2021.0,,,,,,
annual_growth,Cumulative publications,5860.0,2021.0,,,,,,
annual_growth,Cumulative accessions,49515.0,2021.0,,,,,,
annual_growth,Publications,621.0,2022.0,,,,,,
annual_growth,Accessions,33229.0,2022.0,,,,,,
annual_growth,Discovery participant instances,829108112.0,2022.0,,,,,,
annual_growth,Replication participant instances,73500668.0,2022.0,,,,,,
annual_growth,Cumulative publications,6481.0,2022.0,,,,,,
annual_growth,Cumulative accessions,82744.0,2022.0,,,,,,
annual_growth,Publications,560.0,2023.0,,,,,,
annual_growth,Accessions,21185.0,2023.0,,,,,,
annual_growth,Discovery participant instances,720253109.0,2023.0,,,,,,
annual_growth,Replication participant instances,53919906.0,2023.0,,,,,,
annual_growth,Cumulative publications,7041.0,2023.0,,,,,,
annual_growth,Cumulative accessions,103929.0,2023.0,,,,,,
annual_growth,Publications,385.0,2024.0,,,,,,
annual_growth,Accessions,33355.0,2024.0,,,,,,
annual_growth,Discovery participant instances,2828981817.0,2024.0,,,,,,
annual_growth,Replication participant instances,41162072.0,2024.0,,,,,,
annual_growth,Cumulative publications,7426.0,2024.0,,,,,,
annual_growth,Cumulative accessions,137284.0,2024.0,,,,,,
annual_growth,Publications,239.0,2025.0,,,,,,
annual_growth,Accessions,62208.0,2025.0,,,,,,
annual_growth,Discovery participant instances,2617039289.0,2025.0,,,,,,
annual_growth,Replication participant instances,16052740.0,2025.0,,,,,,
annual_growth,Cumulative publications,7665.0,2025.0,,,,,,
annual_growth,Cumulative accessions,199492.0,2025.0,,,,,,
annual_growth,Publications,132.0,2026.0,,,,,,
annual_growth,Accessions,30408.0,2026.0,,,,,,
annual_growth,Discovery participant instances,1881816430.0,2026.0,,,,,,
annual_growth,Replication participant instances,92503391.0,2026.0,,,,,,
annual_growth,Cumulative publications,7797.0,2026.0,,,,,,
annual_growth,Cumulative accessions,229900.0,2026.0,,,,,,
annual_ancestry,Participant share (%),86.24031007751938,2005.0,initial,European,,,,
annual_ancestry,Participant share (%),0.09689922480620156,2005.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2005.0,initial,African,,,,
annual_ancestry,Participant share (%),0.0,2005.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2005.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),13.662790697674417,2005.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),77.11204313960455,2006.0,initial,European,,,,
annual_ancestry,Participant share (%),4.51368084681446,2006.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2006.0,initial,African,,,,
annual_ancestry,Participant share (%),18.374276013580985,2006.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.0,2006.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.0,2006.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),98.96446512774679,2007.0,initial,European,,,,
annual_ancestry,Participant share (%),0.3948747187721515,2007.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2007.0,initial,African,,,,
annual_ancestry,Participant share (%),0.0,2007.0,initial,African American or Afro-Caribbean,,,,
annual_ancestry,Participant share (%),0.21612167534748977,2007.0,initial,Hispanic or Latin American,,,,
annual_ancestry,Participant share (%),0.4245384781335717,2007.0,initial,Other/Mixed,,,,
annual_ancestry,Participant share (%),97.5664025969838,2008.0,initial,European,,,,
annual_ancestry,Participant share (%),0.98217505210873,2008.0,initial,Asian,,,,
annual_ancestry,Participant share (%),0.0,2008.0,initial,African,,,,
annual_ancestry,Participant share (%),0.2999000333222259,2008.0,initial,African American or Afro-Caribbean,,,,
