index,European,Other/Mixed,Asian,African American or Afro-Caribbean,In Part Not Recorded,Hispanic or Latin American,African
2007,67.0103092783505,9.278350515463918,6.185567010309279,4.123711340206185,5.154639175257731,7.216494845360824,1.0309278350515463
2008,76.77419354838709,4.516129032258064,7.741935483870968,2.5806451612903225,8.38709677419355,0.0,0.0
2009,66.93227091633466,5.179282868525896,14.741035856573706,3.9840637450199203,5.577689243027888,1.9920318725099602,1.593625498007968
2010,59.86159169550172,7.26643598615917,20.761245674740483,2.768166089965398,6.5743944636678195,1.7301038062283738,1.0380622837370241
2011,54.26136363636363,4.829545454545454,22.443181818181817,5.965909090909091,8.238636363636363,2.272727272727273,1.9886363636363635
2012,49.549549549549546,3.903903903903904,28.82882882882883,5.105105105105105,8.108108108108109,3.003003003003003,1.5015015015015014
2013,45.47738693467337,6.78391959798995,26.13065326633166,7.537688442211055,7.537688442211055,5.276381909547738,1.256281407035176
2014,51.3595166163142,4.229607250755287,25.075528700906347,5.438066465256798,10.27190332326284,3.0211480362537766,0.6042296072507553
2015,42.094861660079054,6.91699604743083,26.48221343873518,8.102766798418973,8.300395256916996,3.9525691699604746,4.150197628458498
2016,43.24942791762014,5.720823798627003,23.340961098398168,10.526315789473683,8.924485125858125,6.407322654462242,1.8306636155606408
2017,16.48725212464589,1.019830028328612,69.80169971671388,3.9660056657223794,4.53257790368272,3.002832861189802,1.189801699716714
2018,35.54216867469879,4.66867469879518,34.33734939759036,5.72289156626506,9.33734939759036,6.325301204819277,4.066265060240964
2019,38.836265223274694,1.2178619756427604,26.116373477672532,13.396481732070365,6.630581867388363,10.013531799729364,3.7889039242219216
2020,42.76960784313725,2.5735294117647056,14.460784313725492,9.926470588235293,18.38235294117647,9.926470588235293,1.9607843137254901
2021,81.53093849915366,0.4889975550122249,15.478653375963889,0.8839571186759451,0.8087267255971413,0.5266127515516268,0.28211397404551436
2022,34.463961235614775,0.024227740763173834,21.73228346456693,21.562689279224713,0.5572380375529982,21.647486371895823,0.012113870381586917
