index,European,Other/Mixed,Asian,African American or Afro-Caribbean,Hispanic or Latin American,African
2007,70.65217391304348,9.782608695652174,6.521739130434782,4.3478260869565215,7.608695652173914,1.0869565217391304
2008,83.80281690140845,4.929577464788732,8.450704225352112,2.8169014084507045,0.0,0.0
2009,70.88607594936708,5.485232067510549,15.611814345991561,4.219409282700422,2.109704641350211,1.6877637130801686
2010,64.07407407407408,7.777777777777778,22.22222222222222,2.9629629629629632,1.8518518518518516,1.1111111111111112
2011,59.133126934984524,5.263157894736842,24.458204334365323,6.5015479876160995,2.476780185758514,2.1671826625387
2012,53.92156862745098,4.248366013071895,31.372549019607842,5.555555555555555,3.2679738562091507,1.6339869281045754
2013,49.184782608695656,7.336956521739131,28.26086956521739,8.152173913043478,5.706521739130435,1.358695652173913
2014,57.23905723905723,4.713804713804714,27.946127946127948,6.0606060606060606,3.3670033670033668,0.6734006734006733
2015,45.9051724137931,7.543103448275862,28.879310344827587,8.836206896551724,4.310344827586207,4.525862068965517
2016,47.48743718592965,6.281407035175879,25.628140703517587,11.557788944723619,7.035175879396985,2.0100502512562812
2017,17.270029673590503,1.0682492581602374,73.11572700296736,4.154302670623145,3.1454005934718103,1.2462908011869436
2018,39.202657807308974,5.149501661129568,37.87375415282392,6.312292358803987,6.976744186046512,4.485049833887043
2019,41.594202898550726,1.3043478260869565,27.97101449275362,14.347826086956522,10.72463768115942,4.057971014492753
2020,52.4024024024024,3.153153153153153,17.71771771771772,12.162162162162163,12.162162162162163,2.4024024024024024
2021,82.19567690557452,0.4929844520288207,15.604854000758436,0.8911642017444065,0.5309063329541145,0.2844141069397042
2022,34.65708368863443,0.024363503471799244,21.854062614203922,21.683518089901327,21.768790352052626,0.012181751735899622
