index,European,Other/Mixed,Asian,African American or Afro-Caribbean,Hispanic or Latin American,African
2007,93.33333333333333,2.2222222222222223,3.3333333333333335,0.0,1.1111111111111112,0.0
2008,85.63829787234043,4.787234042553192,4.787234042553192,3.723404255319149,1.0638297872340425,0.0
2009,75.08650519031141,5.88235294117647,11.76470588235294,4.1522491349480966,2.0761245674740483,1.0380622837370241
2010,65.87677725118483,5.924170616113744,18.246445497630333,5.687203791469194,2.3696682464454977,1.8957345971563981
2011,61.44329896907217,3.0927835051546393,22.88659793814433,8.45360824742268,1.6494845360824744,2.4742268041237114
2012,59.578544061302686,4.022988505747127,20.49808429118774,10.919540229885058,4.022988505747127,0.9578544061302682
2013,57.49999999999999,4.5,24.5,7.5,5.0,1.0
2014,56.98729582577132,5.807622504537205,22.50453720508167,7.6225045372050815,5.081669691470054,1.9963702359346642
2015,56.865284974093264,6.7357512953367875,18.911917098445596,7.383419689119171,7.512953367875648,2.5906735751295336
2016,60.17039403620873,2.023429179978701,15.867944621938232,11.288604898828542,7.880724174653888,2.768903088391906
2017,56.70446964643096,5.33689126084056,17.945296864576385,8.872581721147432,8.539026017344895,2.601734489659773
2018,54.18577981651376,5.217889908256881,24.19724770642202,7.454128440366972,5.275229357798166,3.669724770642202
2019,53.75335120643432,6.702412868632708,17.359249329758715,8.780160857908847,9.718498659517426,3.686327077747989
